,symbol,timestamp,type,strike_price,expiration,bid_price,bid_amount,ask_price,ask_amount,mark_price,mark_iv,underlying_price,delta,theta,datetime,expiration_datetime,days_to_expiration
5765,ETH-24APR20-260-C,1583020828545000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.080929,91.2,222.04,0.39261,-0.27639,2020-03-01 00:00:28.545,2020-04-24 08:00:00,54 days 07:59:31.455000
6045,ETH-24APR20-280-C,1583020829557000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061582000000000005,92.38,222.04,0.31831,-0.25988,2020-03-01 00:00:29.557,2020-04-24 08:00:00,54 days 07:59:30.443000
5993,ETH-24APR20-220-P,1583020829557000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.129701,88.05,222.04,-0.42188000000000003,-0.2716,2020-03-01 00:00:29.557,2020-04-24 08:00:00,54 days 07:59:30.443000
6697,ETH-24APR20-220-P,1583020831567000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.129582,88.31,222.25,-0.42066000000000003,-0.27248,2020-03-01 00:00:31.567,2020-04-24 08:00:00,54 days 07:59:28.433000
6922,ETH-24APR20-300-C,1583020833580000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.048427,94.5,222.25,0.26093,-0.24233000000000002,2020-03-01 00:00:33.580,2020-04-24 08:00:00,54 days 07:59:26.420000
6923,ETH-24APR20-260-C,1583020833580000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.080977,91.04,222.25,0.39319,-0.27626999999999996,2020-03-01 00:00:33.580,2020-04-24 08:00:00,54 days 07:59:26.420000
7101,ETH-24APR20-280-C,1583020834587000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061886000000000004,92.34,222.36,0.31959,-0.26056999999999997,2020-03-01 00:00:34.587,2020-04-24 08:00:00,54 days 07:59:25.413000
7176,ETH-24APR20-220-P,1583020834587000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.12903499999999998,88.12,222.36,-0.4202,-0.27199,2020-03-01 00:00:34.587,2020-04-24 08:00:00,54 days 07:59:25.413000
7741,ETH-24APR20-240-C,1583020836601000,call,240.0,1587715200000000,0.1,259.0,0.111,259.0,0.104599,88.41,222.36,0.47875,-0.27805,2020-03-01 00:00:36.601,2020-04-24 08:00:00,54 days 07:59:23.399000
8268,ETH-24APR20-300-C,1583020838615000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.048737,94.51,222.56,0.26222,-0.2433,2020-03-01 00:00:38.615,2020-04-24 08:00:00,54 days 07:59:21.385000
8281,ETH-24APR20-260-C,1583020838615000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.081423,91.04,222.56,0.39475,-0.27697,2020-03-01 00:00:38.615,2020-04-24 08:00:00,54 days 07:59:21.385000
8290,ETH-24APR20-220-P,1583020838615000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.128726,88.25,222.56,-0.41907,-0.27248,2020-03-01 00:00:38.615,2020-04-24 08:00:00,54 days 07:59:21.385000
8465,ETH-24APR20-280-C,1583020839622000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.062028,92.27,222.56,0.3203,-0.26086,2020-03-01 00:00:39.622,2020-04-24 08:00:00,54 days 07:59:20.378000
8482,ETH-24APR20-200-P,1583020839622000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,276.0,0.08382300000000001,88.24,222.56,-0.31411999999999995,-0.24739,2020-03-01 00:00:39.622,2020-04-24 08:00:00,54 days 07:59:20.378000
8827,ETH-24APR20-240-C,1583020841636000,call,240.0,1587715200000000,0.1,259.0,0.111,259.0,0.104799,88.31,222.56,0.47966000000000003,-0.27805,2020-03-01 00:00:41.636,2020-04-24 08:00:00,54 days 07:59:18.364000
8959,ETH-24APR20-200-P,1583020842034000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,276.0,0.08343400000000001,88.28,222.81,-0.31296999999999997,-0.2474,2020-03-01 00:00:42.034,2020-04-24 08:00:00,54 days 07:59:17.966000
9209,ETH-24APR20-220-P,1583020842643000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.128198,88.31,222.81,-0.41773999999999994,-0.27276999999999996,2020-03-01 00:00:42.643,2020-04-24 08:00:00,54 days 07:59:17.357000
9253,ETH-24APR20-200-P,1583020842945000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.08343400000000001,88.28,222.81,-0.31296999999999997,-0.2474,2020-03-01 00:00:42.945,2020-04-24 08:00:00,54 days 07:59:17.055000
9308,ETH-24APR20-260-C,1583020843653000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.081707,91.0,222.81,0.39586,-0.27736,2020-03-01 00:00:43.653,2020-04-24 08:00:00,54 days 07:59:16.347000
9311,ETH-24APR20-300-C,1583020843653000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.048933,94.47,222.81,0.26311,-0.24391,2020-03-01 00:00:43.653,2020-04-24 08:00:00,54 days 07:59:16.347000
10013,ETH-24APR20-220-P,1583020845665000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.12756800000000001,87.94,222.84,-0.4178,-0.27168000000000003,2020-03-01 00:00:45.665,2020-04-24 08:00:00,54 days 07:59:14.335000
10058,ETH-24APR20-240-C,1583020845799000,call,240.0,1587715200000000,0.1,259.0,0.1115,259.0,0.105572,88.51,222.84,0.48148,-0.27907,2020-03-01 00:00:45.799,2020-04-24 08:00:00,54 days 07:59:14.201000
10582,ETH-24APR20-280-C,1583020849694000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.062606,92.34,222.98,0.3224,-0.26224000000000003,2020-03-01 00:00:49.694,2020-04-24 08:00:00,54 days 07:59:10.306000
10601,ETH-24APR20-260-C,1583020849694000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.082079,91.09,222.98,0.39693,-0.27804,2020-03-01 00:00:49.694,2020-04-24 08:00:00,54 days 07:59:10.306000
10647,ETH-24APR20-300-C,1583020849694000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049193,94.55,222.98,0.26405,-0.24474,2020-03-01 00:00:49.694,2020-04-24 08:00:00,54 days 07:59:10.306000
10669,ETH-24APR20-200-P,1583020849694000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.08290700000000001,88.11,222.98,-0.31209000000000003,-0.24681,2020-03-01 00:00:49.694,2020-04-24 08:00:00,54 days 07:59:10.306000
10846,ETH-24APR20-220-P,1583020850701000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.12747999999999998,88.11,222.98,-0.41700000000000004,-0.27224,2020-03-01 00:00:50.701,2020-04-24 08:00:00,54 days 07:59:09.299000
11023,ETH-24APR20-240-C,1583020851708000,call,240.0,1587715200000000,0.1,259.0,0.1115,259.0,0.105625,88.39,222.98,0.48199,-0.2789,2020-03-01 00:00:51.708,2020-04-24 08:00:00,54 days 07:59:08.292000
11697,ETH-24APR20-260-C,1583020854729000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.08225700000000001,91.09,223.11,0.39755,-0.27831999999999996,2020-03-01 00:00:54.729,2020-04-24 08:00:00,54 days 07:59:05.271000
11679,ETH-24APR20-300-C,1583020854730000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049317,94.55,223.11,0.26456,-0.24511999999999998,2020-03-01 00:00:54.730,2020-04-24 08:00:00,54 days 07:59:05.270000
11685,ETH-24APR20-280-C,1583020854730000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.062765,92.35,223.11,0.32299999999999995,-0.26261999999999996,2020-03-01 00:00:54.730,2020-04-24 08:00:00,54 days 07:59:05.270000
11885,ETH-24APR20-220-P,1583020856424000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.126789,88.08,223.11,-0.41636000000000006,-0.27221,2020-03-01 00:00:56.424,2020-04-24 08:00:00,54 days 07:59:03.576000
12133,ETH-24APR20-240-C,1583020857086000,call,240.0,1587715200000000,0.1,259.0,0.11199999999999999,259.0,0.106063,88.35,223.28,0.48346999999999996,-0.27919,2020-03-01 00:00:57.086,2020-04-24 08:00:00,54 days 07:59:02.914000
12139,ETH-24APR20-240-C,1583020857104000,call,240.0,1587715200000000,0.1,259.0,0.114,150.0,0.106063,88.35,223.28,0.48346999999999996,-0.27919,2020-03-01 00:00:57.104,2020-04-24 08:00:00,54 days 07:59:02.896000
12144,ETH-24APR20-240-C,1583020857118000,call,240.0,1587715200000000,0.1,259.0,0.1115,259.0,0.106063,88.35,223.28,0.48346999999999996,-0.27919,2020-03-01 00:00:57.118,2020-04-24 08:00:00,54 days 07:59:02.882000
12146,ETH-24APR20-240-C,1583020857122000,call,240.0,1587715200000000,0.1,259.0,0.113,259.0,0.106063,88.35,223.28,0.48346999999999996,-0.27919,2020-03-01 00:00:57.122,2020-04-24 08:00:00,54 days 07:59:02.878000
12602,ETH-24APR20-300-C,1583020859764000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049576999999999996,94.59,223.33,0.26558000000000004,-0.24594000000000002,2020-03-01 00:00:59.764,2020-04-24 08:00:00,54 days 07:59:00.236000
12609,ETH-24APR20-260-C,1583020859764000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.08263,91.13,223.33,0.39874,-0.27894,2020-03-01 00:00:59.764,2020-04-24 08:00:00,54 days 07:59:00.236000
12645,ETH-24APR20-280-C,1583020859765000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.063096,92.4,223.33,0.32416,-0.26342,2020-03-01 00:00:59.765,2020-04-24 08:00:00,54 days 07:59:00.235000
12743,ETH-24APR20-240-C,1583020860558000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.106347,88.48,223.33,0.48396000000000006,-0.27967,2020-03-01 00:01:00.558,2020-04-24 08:00:00,54 days 07:58:59.442000
12889,ETH-24APR20-220-P,1583020861780000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.126355,87.92,223.33,-0.41531999999999997,-0.27183,2020-03-01 00:01:01.780,2020-04-24 08:00:00,54 days 07:58:58.220000
13200,ETH-24APR20-240-C,1583020864871000,call,240.0,1587715200000000,0.1,259.0,0.113,259.0,0.106438,88.49,223.38,0.48423,-0.27975,2020-03-01 00:01:04.871,2020-04-24 08:00:00,54 days 07:58:55.129000
13373,ETH-24APR20-260-C,1583020865806000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.08268099999999999,91.12,223.38,0.39895,-0.27899999999999997,2020-03-01 00:01:05.806,2020-04-24 08:00:00,54 days 07:58:54.194000
13442,ETH-24APR20-300-C,1583020865806000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049614,94.58,223.38,0.26575,-0.24605,2020-03-01 00:01:05.806,2020-04-24 08:00:00,54 days 07:58:54.194000
13455,ETH-24APR20-280-C,1583020865806000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.063149,92.4,223.38,0.32437,-0.26354,2020-03-01 00:01:05.806,2020-04-24 08:00:00,54 days 07:58:54.194000
13600,ETH-24APR20-220-P,1583020866813000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.126194,87.89,223.38,-0.41508,-0.27176999999999996,2020-03-01 00:01:06.813,2020-04-24 08:00:00,54 days 07:58:53.187000
13616,ETH-24APR20-240-C,1583020867009000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.106521,88.49,223.38,0.48423,-0.27975,2020-03-01 00:01:07.009,2020-04-24 08:00:00,54 days 07:58:52.991000
14281,ETH-24APR20-280-C,1583020870841000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.063095,92.45,223.27,0.32404,-0.26345,2020-03-01 00:01:10.841,2020-04-24 08:00:00,54 days 07:58:49.159000
14373,ETH-24APR20-300-C,1583020870842000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049556,94.62,223.27,0.26543,-0.24588000000000002,2020-03-01 00:01:10.842,2020-04-24 08:00:00,54 days 07:58:49.158000
14377,ETH-24APR20-260-C,1583020870842000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.082588,91.16,223.27,0.39851,-0.27892,2020-03-01 00:01:10.842,2020-04-24 08:00:00,54 days 07:58:49.158000
14509,ETH-24APR20-220-P,1583020871848000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.12620699999999999,87.72,223.27,-0.41575,-0.27121,2020-03-01 00:01:11.848,2020-04-24 08:00:00,54 days 07:58:48.152000
14595,ETH-24APR20-240-C,1583020872856000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.106386,88.57,223.27,0.4838,-0.27988,2020-03-01 00:01:12.856,2020-04-24 08:00:00,54 days 07:58:47.144000
15026,ETH-24APR20-260-C,1583020875876000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.082524,91.15,223.23,0.39831,-0.27881,2020-03-01 00:01:15.876,2020-04-24 08:00:00,54 days 07:58:44.124000
15028,ETH-24APR20-300-C,1583020875876000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049513999999999996,94.62,223.23,0.26527,-0.24575,2020-03-01 00:01:15.876,2020-04-24 08:00:00,54 days 07:58:44.124000
15102,ETH-24APR20-280-C,1583020875876000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.063052,92.45,223.23,0.32387,-0.26335,2020-03-01 00:01:15.876,2020-04-24 08:00:00,54 days 07:58:44.124000
14990,ETH-24APR20-200-P,1583020875878000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.082165,87.89,223.23,-0.31079,-0.24602,2020-03-01 00:01:15.878,2020-04-24 08:00:00,54 days 07:58:44.122000
15264,ETH-24APR20-220-P,1583020877890000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.126318,87.75,223.24,-0.41588,-0.27129000000000003,2020-03-01 00:01:17.890,2020-04-24 08:00:00,54 days 07:58:42.110000
15276,ETH-24APR20-240-C,1583020877891000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.106279,88.53,223.24,0.48358999999999996,-0.27971999999999997,2020-03-01 00:01:17.891,2020-04-24 08:00:00,54 days 07:58:42.109000
15952,ETH-24APR20-280-C,1583020880911000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.063003,92.41,223.24,0.32378,-0.26321,2020-03-01 00:01:20.911,2020-04-24 08:00:00,54 days 07:58:39.089000
15979,ETH-24APR20-300-C,1583020880911000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049468,94.57,223.24,0.26515,-0.24559,2020-03-01 00:01:20.911,2020-04-24 08:00:00,54 days 07:58:39.089000
15991,ETH-24APR20-260-C,1583020880911000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.082452,91.1,223.24,0.39821,-0.27862,2020-03-01 00:01:20.911,2020-04-24 08:00:00,54 days 07:58:39.089000
16033,ETH-24APR20-200-P,1583020880911000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.08223,87.95,223.24,-0.31079,-0.2462,2020-03-01 00:01:20.911,2020-04-24 08:00:00,54 days 07:58:39.089000
16503,ETH-24APR20-220-P,1583020882926000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.12626800000000002,87.49,223.1,-0.41673999999999994,-0.27045,2020-03-01 00:01:22.926,2020-04-24 08:00:00,54 days 07:58:37.074000
16505,ETH-24APR20-240-C,1583020882926000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.1063,88.7,223.1,0.48315,-0.28006,2020-03-01 00:01:22.926,2020-04-24 08:00:00,54 days 07:58:37.074000
16947,ETH-24APR20-200-P,1583020884939000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.082454,87.71,222.93,-0.3121,-0.24563000000000001,2020-03-01 00:01:24.939,2020-04-24 08:00:00,54 days 07:58:35.061000
17141,ETH-24APR20-260-C,1583020885946000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.082234,91.25,222.93,0.39705999999999997,-0.27848,2020-03-01 00:01:25.946,2020-04-24 08:00:00,54 days 07:58:34.054000
17114,ETH-24APR20-300-C,1583020885946000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049324,94.7,222.93,0.26433,-0.24519000000000002,2020-03-01 00:01:25.946,2020-04-24 08:00:00,54 days 07:58:34.054000
17113,ETH-24APR20-280-C,1583020885946000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.062843,92.56,222.93,0.32284,-0.26295,2020-03-01 00:01:25.946,2020-04-24 08:00:00,54 days 07:58:34.054000
17411,ETH-24APR20-220-P,1583020887960000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.12658699999999998,87.43,222.93,-0.41768,-0.27016,2020-03-01 00:01:27.960,2020-04-24 08:00:00,54 days 07:58:32.040000
17414,ETH-24APR20-240-C,1583020887961000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.106074,88.74,222.93,0.48231999999999997,-0.27995,2020-03-01 00:01:27.961,2020-04-24 08:00:00,54 days 07:58:32.039000
17943,ETH-24APR20-200-P,1583020889974000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.08275,87.91,222.92,-0.31226,-0.24625999999999998,2020-03-01 00:01:29.974,2020-04-24 08:00:00,54 days 07:58:30.026000
18161,ETH-24APR20-260-C,1583020890985000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.08198,91.08,222.92,0.3966,-0.27788,2020-03-01 00:01:30.985,2020-04-24 08:00:00,54 days 07:58:29.015000
18169,ETH-24APR20-300-C,1583020890985000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049152,94.57,222.92,0.26385,-0.24461,2020-03-01 00:01:30.985,2020-04-24 08:00:00,54 days 07:58:29.015000
18182,ETH-24APR20-280-C,1583020890985000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.06264299999999999,92.42,222.92,0.32237,-0.26238,2020-03-01 00:01:30.985,2020-04-24 08:00:00,54 days 07:58:29.015000
18778,ETH-24APR20-240-C,1583020892995000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.105797,88.36,223.11,0.48262,-0.27899,2020-03-01 00:01:32.995,2020-04-24 08:00:00,54 days 07:58:27.005000
18812,ETH-24APR20-220-P,1583020892996000,put,220.0,1587715200000000,0.11900000000000001,258.0,0.1345,258.0,0.12701500000000002,88.01,223.11,-0.4164,-0.272,2020-03-01 00:01:32.996,2020-04-24 08:00:00,54 days 07:58:27.004000
19073,ETH-24APR20-220-P,1583020894341000,put,220.0,1587715200000000,0.1185,258.0,0.1345,258.0,0.12701500000000002,88.01,223.11,-0.4164,-0.272,2020-03-01 00:01:34.341,2020-04-24 08:00:00,54 days 07:58:25.659000
19082,ETH-24APR20-240-C,1583020894538000,call,240.0,1587715200000000,0.1,259.0,0.113,259.0,0.105797,88.36,223.11,0.48262,-0.27899,2020-03-01 00:01:34.538,2020-04-24 08:00:00,54 days 07:58:25.462000
19156,ETH-24APR20-200-P,1583020895010000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,426.0,0.082758,88.17,223.11,-0.31151999999999996,-0.24693,2020-03-01 00:01:35.010,2020-04-24 08:00:00,54 days 07:58:24.990000
19488,ETH-24APR20-260-C,1583020896016000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.082213,90.99,223.18,0.39765,-0.27813000000000004,2020-03-01 00:01:36.016,2020-04-24 08:00:00,54 days 07:58:23.984000
19512,ETH-24APR20-280-C,1583020896016000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.062854,92.35,223.18,0.32333,-0.26283,2020-03-01 00:01:36.016,2020-04-24 08:00:00,54 days 07:58:23.984000
19546,ETH-24APR20-300-C,1583020896016000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.049315,94.5,223.18,0.26466,-0.2451,2020-03-01 00:01:36.016,2020-04-24 08:00:00,54 days 07:58:23.984000
19606,ETH-24APR20-240-C,1583020896684000,call,240.0,1587715200000000,0.1,259.0,0.113,409.0,0.106125,88.5,223.18,0.48322,-0.27952,2020-03-01 00:01:36.684,2020-04-24 08:00:00,54 days 07:58:23.316000
